horizon,model,MAE,RMSE,sMAPE,MASE,Skill_vs_Climo_%
1,nbeats(W=36),0.4090328014240815,0.5042028969088503,115.22281249757498,,
3,nbeats(W=36),0.4582416723768872,0.572383207301381,125.98899992592642,,
6,nbeats(W=36),0.48890078243298024,0.6003457921072158,132.99633511161983,,
